year,state,rate,value
1999,Missouri,3.832318841,"61,076"
1999,Montana,5.759672619,"45,808"
1999,Nebraska,2.924193548,"57,007"
1999,Nevada,5.364215686,"61,191"
1999,New Hampshire,2.679166667,"67,972"
1999,New Jersey,4.76031746,"73,401"
1999,New Mexico,6.756565657,"48,075"
1999,New York,5.320430108,"59,019"
1999,North Carolina,4.237416667,"54,982"
1999,North Dakota,4.032075472,"48,207"
1999,Ohio,5.570170455,"58,281"
1999,Oklahoma,4.220670996,"48,236"
1999,Oregon,7.030324074,"59,949"
1999,Pennsylvania,5.031716418,"55,726"
1999,Rhode Island,3.705,"63,048"
1999,South Carolina,5.979891304,"53,813"
1999,South Dakota,3.825126263,"52,878"
1999,Tennessee,5.411491228,"53,902"
1999,Texas,5.510958005,"57,099"
1999,Utah,4.926724138,"67,964"
1999,Vermont,3.59047619,"61,373"
1999,Virginia,3.634837093,"67,437"
1999,Washington,6.872863248,"67,113"
1999,West Virginia,8.027878788,"43,239"
1999,Wisconsin,3.907638889,"67,399"
1999,Wyoming,4.668115942,"54,974"
2000,Alabama,5.503482587,"50,566"
2000,Arizona,6.050555556,"56,788"
2000,Arkansas,4.835555556,"42,391"
2000,California,6.270833333,"66,827"
2000,Colorado,3.298828125,"68,860"
2000,Connecticut,2.308333333,"71,618"
2000,Delaware,3.847222222,"71,893"
2000,Hawaii,4.472916667,"73,579"
2000,Idaho,5.622727273,"53,688"
2000,Illinois,4.55996732,"65,754"
2000,Indiana,3.327173913,"58,332"
2000,Iowa,2.794276094,"58,512"
2000,Kansas,3.30968254,"58,609"
2000,Kentucky,4.942291667,"51,766"
2000,Louisiana,6.078125,"43,848"
2000,Maine,3.859895833,"53,195"
2000,Maryland,3.924305556,"77,846"
2000,Massachusetts,2.733333333,"66,737"
2000,Michigan,4.740963855,"64,966"
2000,Minnesota,3.995881226,"77,440"
2000,Mississippi,6.293902439,"48,960"
2000,Missouri,3.976521739,"64,373"
2000,Montana,5.273511905,"46,787"
2000,Nebraska,2.875985663,"59,596"
2000,Nevada,4.751470588,"65,317"
2000,New Hampshire,2.679166667,"72,694"
2000,New Jersey,3.802380952,"71,950"
2000,New Mexico,5.706565657,"50,093"
2000,New York,4.273521505,"58,160"
2000,North Carolina,4.328416667,"54,695"
2000,North Dakota,3.450943396,"51,382"
2000,Ohio,4.65625,"61,326"
2000,Oklahoma,3.275324675,"46,295"
2000,Oregon,6.21712963,"60,665"
2000,Pennsylvania,4.466044776,"60,204"
2000,Rhode Island,3.778333333,"60,234"
2000,South Carolina,4.526992754,"53,629"
2000,South Dakota,3.115909091,"52,066"
2000,Tennessee,4.601491228,"48,670"
2000,Texas,4.696751969,"55,112"
2000,Utah,4.181034483,"67,875"
2000,Vermont,3.105952381,"56,518"
2000,Virginia,2.845802005,"67,322"
2000,Washington,6.739957265,"60,702"
2000,West Virginia,6.182727273,"41,982"
2000,Wisconsin,3.986805556,"64,360"
2000,Wyoming,3.945289855,"56,568"
2001,Alabama,6.250995025,"48,800"
2001,Arizona,6.796666667,"59,270"
2001,Arkansas,5.652444444,"46,272"
2001,California,6.62183908,"65,596"
2001,Colorado,3.904557292,"68,559"
2001,Connecticut,2.976041667,"74,042"
2001,Delaware,3.566666667,"68,844"
2001,Hawaii,4.8,"65,842"
2001,Idaho,5.94375,"53,076"
2001,Illinois,5.200081699,"64,082"
2001,Indiana,4.491666667,"56,043"
2001,Iowa,3.489814815,"56,872"
2001,Kansas,3.876349206,"57,481"
2001,Kentucky,5.919097222,"53,348"
2001,Maine,4.3265625,"50,815"
2001,Maryland,4.331944444,"74,296"
2001,Massachusetts,3.5375,"72,523"
2001,Michigan,6.391164659,"62,522"
2001,Minnesota,4.388984674,"73,117"
2001,Mississippi,6.676422764,"41,861"
2001,Missouri,5.054130435,"57,376"
2001,Montana,4.727083333,"44,589"
2001,Nebraska,3.021236559,"60,529"
2001,Nevada,5.489215686,"63,016"
2001,New Hampshire,3.345833333,"71,244"
2001,New Jersey,4.319047619,"71,854"
2001,New Mexico,5.627020202,"45,974"
2001,New York,4.538844086,"58,451"
2001,North Carolina,6.26525,"52,966"
2001,North Dakota,3.382389937,"49,678"
2001,Ohio,4.842234848,"57,995"
2001,Oklahoma,3.783116883,"49,423"
2001,Oregon,7.483796296,"57,284"
2001,Pennsylvania,5.386069652,"60,373"
2001,Rhode Island,4.08,"63,460"
2001,South Carolina,6.34692029,"52,375"
2001,South Dakota,3.672979798,"55,060"
2001,Tennessee,5.569210526,"49,664"
2001,Texas,4.978310666,"56,711"
2001,Utah,5.04454023,"65,707"
2001,Vermont,3.592261905,"56,619"
2001,Virginia,3.81735589,"69,731"
2001,Washington,7.936752137,"58,973"
2001,West Virginia,5.566969697,"41,184"
2001,Wisconsin,4.984259259,"62,937"
2001,Wyoming,3.877173913,"55,127"
2002,Alabama,7.025497512,"51,380"
2002,Arizona,7.803333333,"54,292"
2002,Arkansas,6.195,"44,253"
2002,California,7.603448276,"64,817"
2002,Colorado,5.017447917,"65,988"
2002,Connecticut,4.145833333,"72,947"
2002,Delaware,3.944444444,"67,841"
2002,Hawaii,4.3875,"64,634"
2002,Idaho,6.258333333,"51,533"
2002,Illinois,5.895833333,"58,358"
2002,Indiana,5.316123188,"56,086"
2002,Iowa,4.095286195,"56,089"
2002,Kansas,4.231111111,"58,234"
2002,Kentucky,6.3175,"50,231"
2002,Maine,4.860416667,"50,356"
2002,Maryland,4.621527778,"77,074"
2002,Massachusetts,4.780357143,"68,121"
2002,Michigan,7.255421687,"58,365"
2002,Minnesota,4.835440613,"74,635"
2002,Mississippi,7.811788618,"42,197"
2002,Missouri,5.647463768,"58,449"
2002,Montana,4.711011905,"47,598"
2002,Nebraska,3.358781362,"58,476"
2002,Nevada,5.342647059,"61,430"
2002,New Hampshire,4.17,"75,590"
2002,New Jersey,5.779365079,"74,561"
2002,New Mexico,5.95959596,"48,448"
2002,New York,5.463844086,"57,342"
2002,North Carolina,7.2,"49,894"
2002,North Dakota,4.169339623,"49,463"
2002,Ohio,6.209753788,"58,323"
2002,Oklahoma,4.749675325,"49,816"
2002,Oregon,7.991203704,"57,118"
2002,Pennsylvania,6.052238806,"58,069"
2002,Rhode Island,4.551666667,"57,958"
2002,South Carolina,6.902355072,"51,666"
2002,South Dakota,3.659974747,"51,749"
2002,Tennessee,6.179736842,"50,597"
2002,Texas,6.104232283,"54,859"
2002,Utah,6.115804598,"65,397"
2002,Vermont,4.325,"58,753"
2002,Virginia,4.880263158,"67,815"
2002,Washington,8.436111111,"61,738"
2002,West Virginia,6.598030303,"40,116"
2002,Wisconsin,5.747222222,"62,721"
2002,Wyoming,4.156884058,"54,332"
2003,Alabama,7.075248756,"49,774"
2003,Arizona,7.597222222,"55,000"
2003,Arkansas,6.736,"42,756"
2003,California,7.929310345,"65,867"
2003,Colorado,5.551432292,"66,722"
2003,Connecticut,5.2,"73,436"
2003,Delaware,4.147222222,"65,492"
2003,Hawaii,4.2625,"69,253"
2003,Idaho,6.384090909,"56,611"
2003,Illinois,6.604820261,"60,327"
2003,Indiana,5.483967391,"56,682"
2003,Iowa,4.65959596,"55,291"
2003,Kansas,4.432619048,"59,096"
2003,Kentucky,6.87375,"49,348"
2003,Louisiana,8.4484375,"44,767"
2003,Maine,5.572395833,"49,585"
2003,Maryland,4.713194444,"69,894"
2003,Massachusetts,5.27202381,"68,078"
2003,Michigan,8.017871486,"60,152"
